Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Aaltonen, Terhi; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; ",Search for technicolor particles produced in association with a W Boson at CDF,Physical review letters,104,11,111802,2010,American Physical Society
"Aaltonen, Timo; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for new physics in the μ μ+ e/μ+ E̸ T channel with a low-p T lepton threshold at the Collider Detector at Fermilab,Physical Review D,79,5,052004,2009,American Physical Society
"Aaltonen, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Arisawa, T; ",Search for resonant production of t t¯ pairs in 4.8 fb-1 of integrated luminosity of p p¯ collisions at s= 1.96 TeV,Physical Review D,84,7,072004,2011,American Physical Society
"Aaltonen, Terhi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for Randall-Sundrum gravitons in the diphoton channel at CDF,Physical Review D,83,1,011102,2011,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Measurement of the fraction of t t¯ production via gluon-gluon fusion in p p¯ collisions at s= 1.96 TeV,Physical Review D,79,3,031101,2009,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Top quark mass measurement using the template method at CDF,Physical Review D,83,11,111101,2011,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; ",Measurement of Z γ production in p p¯ collisions at s= 1.96 TeV,Physical Review D,82,3,031103,2010,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for chargino-neutralino production in p p¯ collisions at s= 1.96 TeV with high-p T leptons,Physical Review D,77,5,052002,2008,American Physical Society
"Aaltonen, Terhi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurements of the Angular Distributions in the Decays B→ K (*) μ+ μ-at CDF,Physical review letters,108,8,081807,2012,American Physical Society
"Aaltonen, Timo; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for the supersymmetric partner of the top quark in p p¯ collisions at s= 1.96 TeV,Physical Review D,82,9,092001,2010,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurement of the W W+ W Z production cross section using a matrix element technique in lepton+ jets events,Physical Review D,82,11,112001,2010,American Physical Society
"Aaltonen, Terhi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for new dielectron resonances and Randall-Sundrum gravitons at the Collider Detector at Fermilab,Physical review letters,107,5,051801,2011,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurement of b Hadron Lifetimes in Exclusive Decays Containing a J/ψ in p p¯ Collisions at s= 1.96 TeV,Physical review letters,106,12,121804,2011,American Physical Society
"Aaltonen, Timo; Adelman, Jahred; Akimoto, Takashi; Albrow, Michael G; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for the associated production of the standard-model Higgs boson in the all-hadronic channel,Physical review letters,103,22,221801,2009,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; ",Search for the Higgs Boson Using Neural Networks in Events with Missing Energy and b-Quark Jets in p p¯ Collisions at s= 1.96 TeV,Physical review letters,104,14,141801,2010,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",Searching the inclusive ℓ γ E̸ T+ b-quark signature for radiative top quark decay and non-standard-model processes,Physical Review D,80,1,011102,2009,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; ",Search for anomalous production of events with two photons and additional energetic objects at CDF,Physical Review D,82,5,052005,2010,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Measurement of resonance parameters of orbitally excited narrow B 0 mesons,Physical review letters,102,10,102003,2009,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; ",Measurement of the B-lifetime using a simulation free approach for trigger bias correction,Physical Review D,83,3,032008,2011,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for new T′ particles in final states with large jet multiplicities and missing transverse energy in p p collisions at s= 1.96 TeV,Physical review letters,107,19,191803,2011,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Measurement of the t t¯ production cross section in p p¯ collisions at s= 1.96 TeV using soft electron b-tagging,Physical Review D,81,9,092002,2010,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Measurement of b-jet shapes in inclusive jet production in p p¯ collisions at s= 1.96 TeV,Physical Review D,78,7,072005,2008,American Physical Society
"Aaltonen, T; ",Observation of the Ξb0 Baryon,Physical Review Letters,,,,2011,
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",Search for standard model Higgs boson production in association with a W boson using a neural network discriminant at CDF,Physical Review D,80,1,012002,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Strong Evidence for Z Z Production in p p¯ Collisions at s= 1.96 TeV,Physical review letters,100,20,201801,2008,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ","Measurements of the properties of Λ c (2595), Λ c (2625), Σ c (2455), and Σ c (2520) baryons",Physical Review D,84,1,012003,2011,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",Measurement of the top quark mass using the invariant mass of lepton pairs in soft muon b-tagged events,Physical Review D,80,5,051104,2009,American Physical Society
"Aaltonen, Terhi; González, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurement of the cross section for prompt isolated diphoton production in p p¯ collisions at s= 1.96 TeV,Physical Review D,84,5,052006,2011,American Physical Society
"Aaltonen, Terhi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Observation of B s 0→ J/ψ K*(892) 0 and B s 0→ J/ψ K S 0 decays,Physical Review D,83,5,052012,2011,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for new heavy particles decaying to Z 0 Z 0→ e e e e in p p¯ collisions at s= 1.96 TeV,Physical Review D,78,1,012008,2008,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurements of branching fraction ratios and C P-asymmetries in suppressed B-→ D (→ K+ π-) K-and B-→ D (→ K+ π-) π-decays,Physical Review D,84,9,091504,2011,American Physical Society
"Aaltonen, T; Adelman, J; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; ","Search for R-Parity Violating Decays of Sneutrinos to e μ, μ τ, and e τ Pairs in p p¯ Collisions at s= 1.96 TeV",Physical review letters,105,19,191801,2010,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for new physics in high p T like-sign dilepton events at CDF II,Physical review letters,107,18,181801,2011,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",First Search for Multijet Resonances in s= 1.96 TeV p p¯ Collisions,Physical review letters,107,4,042001,2011,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Top-quark mass measurement using events with missing transverse energy and jets at CDF,Physical review letters,107,23,232002,2011,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for a Heavy Toplike Quark in p p¯ Collisions at s= 1.96 TeV,Physical review letters,107,26,261801,2011,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ","Search for new heavy particles decaying to Z Z→ l l l l, l l j j in p p¯ collisions at s= 1.96 TeV",Physical Review D,83,11,112008,2011,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; ",Study of the associated production of photons and b-quark jets in p p¯ collisions at s= 1.96 TeV,Physical Review D,81,5,052006,2010,American Physical Society
"Aaltonen, Timo; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Measurement of the top quark mass at CDF using the “neutrino ϕ weighting” template method on a lepton plus isolated track sample,Physical Review D,79,7,072005,2009,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Search for the Higgs boson produced in association with Z→ ℓ+ ℓ-using the matrix element method at CDF II,Physical Review D,80,7,071101,2009,American Physical Society
"Aaltonen, Timo; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Measurements of the top-quark mass using charged particle tracking,Physical Review D,81,3,032002,2010,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurement of the t t¯ production cross section in p p¯ collisions at s= 1.96 TeV using events with large missing transverse energy and jets,Physical Review D,84,3,032003,2011,American Physical Society
"Jones, M; Abulencia, A; Azzurri, P; Brian, W; Cochran, E; Dittmann, JR; Donati, S; Efron, J; Erbacher, R; Errede, D; ",The CDF II Level 1 Track Trigger Upgrade,"Nuclear Science, IEEE Transactions on",55,1,126-132,2008,IEEE
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurement of event shapes in p p¯ collisions at s= 1.96 TeV,Physical Review D,83,11,112007,2011,American Physical Society
"Aaltonen, Terhi; Albrow, Michael G; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; ",Observation of Exclusive γ γ Production in p p¯ Collisions at s= 1.96 TeV,Physical review letters,108,8,081801,2012,American Physical Society
"Aaltonen, Timo; Adelman, J; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Antos, J; Apollinari, G; Apresyan, A; Arisawa, T; ",Study of multi-muon events produced in p\ bar {p} interactions at\ sqrt {s}= 1.96 TeV,The European Physical Journal C,68,1-2,109-118,2010,Springer-Verlag
"Aaltonen, Terhi; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; ",Search for New Physics with a Dijet Plus Missing E T Signature in p p¯ Collisions at s= 1.96 TeV,Physical review letters,105,13,131801,2010,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for Large Extra Dimensions in Final States Containing One Photon or Jet and Large Missing Transverse Energy Produced in p p¯ Collisions at s= 1.96 TeV,Physical review letters,101,18,181602,2008,American Physical Society
"Aaltonen, Terhi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Limits on Anomalous Trilinear Gauge Couplings in Z γ Events from p p¯ Collisions at s= 1.96 TeV,Physical review letters,107,5,051802,2011,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; ",Exclusion of an exotic top quark with-4/3 electric charge using soft lepton tagging,Physical review letters,105,10,101801,2010,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Arisawa, T; ",Measurement of the C P-violating phase β s J/ψ ϕ in B s 0→ J/ψ ϕ decays with the CDF II detector,Physical Review D,85,7,072002,2012,American Physical Society
"Aaltonen, Terhi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for Higgs bosons produced in association with b quarks,Physical Review D,85,3,032005,2012,American Physical Society
"Abulencia, A; Azzurri, P; Cochran, E; Dittmann, J; Donati, S; Efron, J; Erbacher, R; Errede, D; Fedorko, I; Flanagan, G; ",The CDF II extremely fast tracker upgrade,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",572,1,358-360,2007,Elsevier
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",Search for the neutral current top quark decay t→ Z c using the ratio of Z-boson+ 4 jets to W-boson+ 4 jets production,Physical Review D,80,5,052001,2009,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurement of the top-quark mass in the lepton+ jets channel using a matrix element technique with the CDF II detector,Physical Review D,84,7,071105,2011,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for B s 0→ μ+ μ-and B 0→ μ+ μ-Decays with 2 fb-1 of p p¯ Collisions,Physical review letters,100,10,101802,2008,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Arisawa, T; ",Evidence for the Charmless Annihilation Decay Mode B s 0→ π+ π,Physical review letters,108,21,211803,2012,American Physical Society
"Aaltonen, Timo; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Updated search for the flavor-changing neutral-current decay D 0→ μ+ μ-in p p¯ collisions at s= 1.96 TeV,Physical Review D,82,9,091105,2010,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",Search for narrow resonances lighter than ϒ mesons,The European Physical Journal C,62,2,319-326,2009,Springer-Verlag
"Aaltonen, Terhi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for a Higgs Boson in the Diphoton Final State in p p¯ Collisions at s= 1.96 TeV,Physical review letters,108,1,011801,2012,American Physical Society
"Aaltonen, Terhi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Arisawa, T; ",Search for high-mass resonances decaying into Z Z in p p¯ collisions at s= 1.96 TeV,Physical Review D,85,1,012008,2012,American Physical Society
"Aaltonen, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for a Very Light C P-Odd Higgs Boson in Top Quark Decays from p p¯ Collisions at s= 1.96 TeV,Physical review letters,107,3,031801,2011,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Arisawa, T; ",Measurement of the masses and widths of the bottom baryons Σ b±and Σ b*±,Physical Review D,85,9,092011,2012,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for hadronic decays of W and Z bosons in photon events in p p¯ collisions at s= 1.96 TeV,Physical Review D,80,5,052011,2009,American Physical Society
"Abulencia, A; Azzurri, P; Brian, W; Cochran, E; Dittmann, JR; Donati, S; Efron, J; Erbacher, R; Errede, D; Fedorko, I; ",The CDF II 3D-Track Level 2 Trigger Upgrade,"Real-Time Conference, 2007 15th IEEE-NPSS",,,1-5,2007,IEEE
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for the Higgs boson in the all-hadronic final state using the CDF II detector,Physical Review D,84,5,052010,2011,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for heavy metastable particles decaying to jet pairs in p p¯ collisions at s= 1.96 TeV,Physical Review D,85,1,012007,2012,American Physical Society
"Aaltonen, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Evidence for t t¯ γ production and measurement of σ t t¯ γ/σ t t¯,Physical Review D,84,3,031104,2011,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Arisawa, T; ",Measurement of B s 0→ D s (*)+ D s (*)-Branching Ratios,Physical review letters,108,20,201801,2012,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Anzá, F; Apollinari, G; Appel, JA; ",Search for a Dark Matter Candidate Produced in Association with a Single Top Quark in p p¯ Collisions at s= 1.96 TeV,Physical review letters,108,20,201802,2012,American Physical Society
"Aaltonen, Terhi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurement of the top pair production cross section in the lepton+ jets channel using a jet flavor discriminant,Physical Review D,84,3,031101,2011,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for resonant production of t t¯ decaying to jets in p p¯ collisions at s= 1.96 TeV,Physical Review D,84,7,072003,2011,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Álvarez González, B; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Search for a Standard Model Higgs Boson in WH--> lvbb-bar in pp-bar Collisions at sqrt [s]= 1.96 TeV,,,,,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ","Publisher’s Note: Search for hadronic decays of W and Z bosons in photon events in p p¯ collisions at s= 1.96 TeV [Phys. Rev. D 80, 052011 (2009)]",Physical Review D,80,7,079901,2009,American Physical Society
"Aaltonen, T; CDF Collaboration; ",Search for resonant ttbar production in ppbar collisions at sqrt {s}= 1.96 TeV,arXiv preprint arXiv:0709.0705,,,,2007,
"Aaltonen, T; Álvarez González, B; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; Arisawa, T; ",An additional study of multi-muon events produced in collisions at,Physics Letters B,710,2,278-283,2012,North-Holland
"Hewamanage, Samantha; Dittman, Jay; Krumnack, Nils; Culbertson, Raymond; Pronko, Sasha; ",Search for Anomalous Production of $\ gamma $+ Jets+ $\ not\!\!{E_ {T}} $,Bulletin of the American Physical Society,53,,,2008,APS
"Aaltonen, T; Álvarez González, B; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; Apresyan, A; ",Search for B [subscript s][superscript 0]→ μ [superscript+] μ [superscript-] and B [superscript 0]→ μ [superscript+] μ [superscript-] Decays with CDF II,,,,,2011,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Arisawa, T; ",Measurement of the branching fraction B (Λ b 0→ Λ c+ π-π+ π-) at CDF,Physical Review D,85,3,032003,2012,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, BA; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Measurement of b-jet shapes in inclusive jet production in p< overline> p</overline> collisions at< radical>< radicand> s</radicand></radical>= 1.96 TeV,Physics Research Publications,,,938,2008,
"Aaltonen, T; CDF Collaboration; ",Search for Hadronic Decays of W and Z Bosons in Photon Events in ppbar Collisions at s**(1/2)= 1.96 GeV,arXiv preprint arXiv:0803.4264,,,,2008,
"Aaltonen, T; Álvarez González, B; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; Apresyan, A; ",Measurement of the Forward-Backward Asymmetry in the B--> K [superscript (*)] mu+ mu-Decay and First Observation of the Bs [superscript 0]--> phimu+ mu-Decay,,,,,2011,American Physical Society
"Hewamanage, Samantha; Dittman, Jay; Krumnack, Nils; Culbertson, Raymond; Pronko, Sasha; ",Search for Anomalous Production of gamma+ Jets+,APS Meeting Abstracts,1,,11005,2008,
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Search for Charged Higgs Bosons in Decays of Top Quarks in p p¯ Collisions at s= 1.96 TeV,Physical review letters,103,10,101803,2009,American Physical Society
"Aaltonen, T; Álvarez González, B; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; Arisawa, T; ",Measurement of the branching fraction B (Λ [subscript b][superscript 0]→ Λ [subscript c][superscript+] π [superscript-] π [superscript+] π [superscript-]) at CDF,,,,,2012,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",First Measurement of the Production of a W Boson in Association with a Single Charm Quark in $ p\ bar {p} $ Collisions at $\ sqrt {s} $= 1.96 TeV,,,,,2007,
"Aaltonen, T; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ","Erratum: Measurement of particle production and inclusive differential cross sections in p p¯ collisions at s= 1.96 TeV [Phys. Rev. D 79, 112005 (2009)]",Physical Review D,82,11,119903,2010,American Physical Society
"Aaltonen, T; Adelman, J; Álvarez González, B; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; ",Measurement of Z gamma production in pp [over-bar] collisions at [sqrt] s= 1.96 TeV,,,,,2010,American Physical Society
"Abulencia, A; Azzurri, P; Cochran, E; Cox, C; Cox, D; Dittmann, J; Donati, S; Efron, J; Erbacher, R; Errede, D; ",eXtremely Fast Tracker trigger upgrade at CDF,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",598,1,328-330,2009,North-Holland
"Fedorko, I; Abulencia, A; Errede, D; Gerberich, H; Junk, T; Kasten, M; Levine, S; Mokos, R; Pitts, K; Rogers, E; ",The CDF II eXtremely Fast Tracker Upgrade,"Astroparticle, Particle and Space Physics, Detectors and Medical Physics Applications",1,,951-955,2008,
"Aaltonen, T; Abazov, V; Abbott, B; Abolins, M; Acharya, B; Adams, M; Adams, T; Adelman, J; Aguilo, E; Alexeev, G; ",Combined Tevatron upper limit on gg--> H--> W [superscript+] W [superscript-] and constraints on the Higgs boson mass in fourth-generation fermion models,,,,,2010,American Physical Society
"Aaltonen, T; Álvarez González, B; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; Apresyan, A; ",Measurement of branching ratio and B [subscript s][superscript 0] lifetime in the decay B [subscript s][superscript 0]→ J/ψf0 (980) at CDF,,,,,2011,American Physical Society (APS)
"Aaltonen, T; Álvarez González, B; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; Apresyan, A; ",Measurement of the tt [over-bar] production cross section in pp [over-bar] collisions at [sqrt] s= 1.96 TeV using events with large missing transverse energy and jets,,,,,2011,American Physical Society
"Hewamanage, Samantha K; ",Search for anomalous production of photon+ jets+ missing transverse energy in proton-antiproton collisions at a center of mass energy of 1.96 TeV using the CDF II detector.,,,,,2011,
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for the rare radiative decay W→ π γ in p p¯ collisions at s= 1.96 TeV,Physical Review D,85,3,032001,2012,American Physical Society
